subj,ctrb,gender,age,formex,female,question,item,response
547,564,M,5.152777778,1,0,1,2,1
550,560,F,6.038888889,1,1,1,2,1
551,570,M,5.188888889,1,0,1,2,1
554,568,F,5.733333333,1,1,1,2,1
555,572,M,6.447222222,1,0,1,2,1
559,547,M,5.805555556,1,0,1,2,0
560,536,F,6.483333333,1,1,1,2,0
563,566,F,6.608333333,1,1,1,2,1
564,536,F,6.802777778,1,1,1,2,1
566,566,F,5.313888889,1,1,1,2,1
567,544,F,5.875,1,1,1,2,1
2N/351K,513,M,5,0,0,2,2,1
3N,513,M,5.072222222,0,0,2,2,1
6N,502,F,5.572222222,0,1,2,2,0
7N,509,F,5.280555556,0,1,2,2,1
8N,510,F,5.227777778,0,1,2,2,0
12N,501,F,5.188888889,0,1,2,2,1
13N,506,M,5.161111111,0,0,2,2,0
14N,505,M,5.294444444,0,0,2,2,1
15N,514,M,6.277777778,0,0,2,2,1
18N,514,M,6.563888889,0,0,2,2,0
19N,510,F,6.336111111,0,1,2,2,1
20N,553,M,6.380555556,0,0,2,2,1
22N,553,M,5.852777778,0,0,2,2,1
23N,555,M,6.566666667,0,0,2,2,1
24N,551,F,5.411111111,0,1,2,2,0
27N,549,F,5.413888889,0,1,2,2,1
28N,551,F,6.288888889,0,1,2,2,1
501,517,F,5.141666667,0,1,2,2,1
502,518,F,5.836111111,0,1,2,2,1
503,525,F,6.697222222,0,1,2,2,1
511,521,M,5.152777778,0,0,2,2,1
513,522,M,5.566666667,0,0,2,2,0
515,529,M,6.2,0,0,2,2,0
516,533,F,6.636111111,0,1,2,2,0
517,517,F,6.205555556,0,1,2,2,1
519,526,F,5.108333333,0,1,2,2,1
520,530,M,6.363888889,0,0,2,2,1
523,517,F,6.616666667,0,1,2,2,1
527,537,M,5.161111111,0,0,2,2,1
531,534,F,5.355555556,0,1,2,2,1
535,545,M,5.880555556,0,0,2,2,0
537,541,F,5.275,0,1,2,2,0
538,542,F,6.966666667,0,1,2,2,1
540,557,F,5.594444444,0,1,2,2,1
544,561,M,6.2,0,0,2,2,0
545,563,M,6.255555556,0,0,2,2,1
546,569,M,5.863888889,0,0,2,2,0
548,559,F,6.922222222,0,1,2,2,1
549,565,F,6.038888889,0,1,2,2,1
552,571,M,5.827777778,0,0,2,2,0
553,521,M,6.65,0,0,2,2,0
556,567,F,6.558333333,0,1,2,2,1
561,563,M,6.738888889,0,0,2,2,0
565,541,F,5.847222222,0,1,2,2,1
568,569,M,6.2,0,0,2,2,1
569,538,M,6.158333333,0,0,2,2,1
562,567,F,6.738888889,0,1,2,2,1
1N/344K,512,F,5.236111111,1,1,2,2,0
4N,504,F,5.402777778,1,1,2,2,1
5N,508,M,5.980555556,1,0,2,2,1
9N,511,F,6.455555556,1,1,2,2,1
10N,511,F,5.058333333,1,1,2,2,1
11N,511 - DUP,F,6.155555556,1,1,2,2,1
16N,507,M,6.333333333,1,0,2,2,1
17N,503,F,6.558333333,1,1,2,2,1
21N,554,M,5.277777778,1,0,2,2,0
25N,550,F,5.338888889,1,1,2,2,1
26N,556,M,5.244444444,1,0,2,2,1
504,516,M,5.566666667,1,0,2,2,0
